prime_genre,apps,median_ratings,mean_user_rating
Games,3862,342.5,4.19
Entertainment,535,278.0,3.69
Education,453,77.0,3.95
Photo & Video,349,807.0,4.08
Utilities,248,261.5,3.71
Health & Fitness,180,446.5,4.19
Productivity,178,684.5,4.15
Social Networking,167,542.0,3.72
Lifestyle,144,125.5,3.58
Music,138,678.5,4.1
Shopping,122,960.5,4.08
Sports,114,169.5,3.37
Book,112,5.0,4.27
Finance,104,17.0,3.56
Travel,81,248.0,3.85
News,75,233.0,3.72
Weather,72,334.0,3.92
Reference,64,379.5,4.17
Food & Drink,63,148.0,3.86
Business,57,896.0,4.03
Navigation,46,33.5,3.98
Medical,23,91.0,3.88
Catalogs,10,106.5,4.2
